Settore merceologico,Insegna,Tipo Via,Denominazione,Civico,Codice Via,Municipio,Superficie vendita[m²],Superficie altri usi[m²],Superficie totale[m²]
alimentare/non alimentare,esselunga spa.,VLE,UMBRIA,28,3145,4,2500.0,1807.0,4307.0
alimentare/non alimentare,esselunga vle certosa,VLE,CERTOSA,59,7174,8,1144.0,386.0,1530.0
alimentare/non alimentare,esselunga vle jenner,VIA,LEGNONE,3,1298,9,1920.0,0.0,1920.0
alimentare/non alimentare,euro discount,VIA,CASATI FELICE,8,2122,2,390.0,110.0,500.0
alimentare/non alimentare,fnac e standa superfresco,VIA,DELLA PALLA,2,586,1,4720.0,0.0,4720.0
alimentare/non alimentare,free shop,VIA,DEI TRANSITI,20,2284,2,577.0,0.0,577.0
alimentare/non alimentare,gs,VIA,MODENA GUSTAVO,8,3122,3,1050.0,1162.0,2212.0
alimentare/non alimentare,gs,VLE,ABRUZZI,10,2177,3,800.0,600.0,1400.0
alimentare/non alimentare,gs,VLE,MONZA,134,2274,2,1300.0,940.0,2240.0
alimentare/non alimentare,gs supermercato,VIA,MAESTRI CAMPIONESI,7,3197,4,1416.0,1436.0,2852.0
alimentare/non alimentare,il gigante,VIA,LORENTEGGIO,3,5132,6,1320.0,0.0,1320.0
alimentare/non alimentare,il mercatino di via arbe,VIA,ARBE,47,1352,2,256.0,80.0,336.0
alimentare/non alimentare,in s mercato,VIA,APELLE,36,2454,2,583.0,0.0,583.0
alimentare/non alimentare,in s mercato,VIA,BASSO LELIO,8,5453,5,750.0,0.0,750.0
alimentare/non alimentare,in s mercato,VIA,CLITUMNO,20,2367,2,600.0,0.0,600.0
alimentare/non alimentare,in s mercato,VIA,LUDOVICO DI BREME,48,7396,8,600.0,0.0,600.0
alimentare/non alimentare,in s mercato,VIA,VARESINA,25,7290,8,399.0,0.0,399.0
alimentare/non alimentare,in s mercato,VLE,MARCHE,97,1360,9,600.0,0.0,600.0
alimentare/non alimentare,io brico,VIA,ORSINI VINCENZO GIORDANO,2,6648,7,1691.0,159.0,1850.0
alimentare/non alimentare,ipercoop,VIA,GOZZOLI BENOZZO,130,6789,7,5660.0,2340.0,8000.0
alimentare/non alimentare,iper portello,VIA,PALAZZOLO DON LUIGI,20,7522,8,5403.0,1097.0,6500.0
alimentare/non alimentare,iperstanda,VIA,TRIVULZIO ANTONIO TOLOMEO,12,6277,7,3200.0,2370.0,5570.0
alimentare/non alimentare,italbar,VIA,TRIVULZIO ANTONIO TOLOMEO,15,6277,7,257.0,0.0,257.0
alimentare/non alimentare,kathay china food store,VIA,ROSMINI ANTONIO,11,7132,1,259.0,0.0,259.0
alimentare/non alimentare,la coloniale,CSO,GENOVA,19,5164,1,350.0,0.0,350.0
alimentare/non alimentare,la rinascente s.p.a.,VLE,CERTOSA,29,7174,8,6350.0,3670.0,10020.0
alimentare/non alimentare,ld discount,VIA,SAN RAFAEL DELLE ANDE,6,1457,2,490.0,0.0,490.0
alimentare/non alimentare,ld market,VIA,RUBENS PIETRO,8,6597,7,498.0,334.0,832.0
alimentare/non alimentare,licenza madre ce de angel,VIA,DE ANGELI CARLO,1,4326,5,4900.0,4085.0,8985.0
alimentare/non alimentare,lidl,LGO,BALESTRA ANTONIO,3,5464,6,896.0,875.0,1771.0
alimentare/non alimentare,lidl,VIA,CEFALU',2,7370,8,884.0,255.0,1139.0
alimentare/non alimentare,lidl,VIA,DELLA CHIESA ROSSA,43,5321,5,1270.0,711.0,1981.0
alimentare/non alimentare,lidl,VIA,GRASSI GIOVANNI BATTISTA,15,7465,8,900.0,0.0,900.0
alimentare/non alimentare,lidl,VIA,LORENTEGGIO,240,5132,6,1112.0,265.0,1377.0
alimentare/non alimentare,lidl,VIA,PESTALOZZI GIOVANNI ENRICO,21,5294,6,856.0,0.0,856.0
alimentare/non alimentare,lidl,VIA,SACCARDO PIETRO ANDREA,22,2665,3,750.0,0.0,750.0
alimentare/non alimentare,lidl,VLE,ORTLES,7,4133,5,892.0,0.0,892.0
alimentare/non alimentare,lidl,VLE,TIBALDI,40,5234,5,674.0,183.0,857.0
alimentare/non alimentare,lidl supermarket,VIA,VALASSINA,12,1314,9,1300.0,268.0,1568.0
alimentare/non alimentare,longoni sport punto giall,VIA,CEFALONIA,10,7439,8,2400.0,0.0,2400.0
alimentare/non alimentare,messaggerie musicali,GLL,DEL CORSO,2,305,1,2440.0,1010.0,3450.0
alimentare/non alimentare,mondadori mulitcenter,VIA,MARGHERA,28,6280,7,1810.0,90.0,1900.0
alimentare/non alimentare,naturasi,VIA,MILLELIRE DOMENICO,14,6620,7,500.0,275.0,775.0
alimentare/non alimentare,natura si,VIA,FARA GUSTAVO,35,1183,9,270.0,0.0,270.0
alimentare/non alimentare,oviesse,CSO,BUENOS AIRES,35,2129,3,3100.0,703.0,3803.0
alimentare/non alimentare,oviesse,VIA,OLTROCCHI BALDASSARE,11,3217,4,1209.0,314.0,1523.0
alimentare/non alimentare,oviesse,VIA,RIPAMONTI GIUSEPPE,175,4066,5,1490.0,842.0,2332.0
alimentare/non alimentare,oviesse,VIA,RISMONDO FRANCESCO,8,6756,7,1800.0,440.0,2240.0
alimentare/non alimentare,pam,VIA,BAZZINI ANTONIO,33,2427,3,920.0,1107.0,2027.0
alimentare/non alimentare,pam,VIA,DELLE FORZE ARMATE,44,6643,7,1010.0,846.0,1856.0
alimentare/non alimentare,pam,VIA,FOPPA VINCENZO,33,6109,6,960.0,1235.0,2195.0
alimentare/non alimentare,pam,VIA,OLONA,1,5090,1,960.0,860.0,1820.0
alimentare/non alimentare,pam,VIA,PICCINNI NICOLA,2,2236,3,800.0,1240.0,2040.0
alimentare/non alimentare,pam,VIA,STRIGELLI GAETANO,8,3214,4,1100.0,874.0,1974.0
alimentare/non alimentare,pam,VIA,TOLSTOI LEONE,61,5133,6,850.0,947.0,1797.0
alimentare/non alimentare,pam,VLE,SABOTINO,6,4046,5,900.0,922.0,1822.0
alimentare/non alimentare,pam,VLE,TIBALDI,35,5234,5,800.0,891.0,1691.0
alimentare/non alimentare,pd discount,VLE,DORIA ANDREA,17,2230,3,340.0,103.0,443.0
alimentare/non alimentare,peck,VIA,SPADARI,7,518,1,1160.0,0.0,1160.0
alimentare/non alimentare,penny market,VIA,MASSARA DE CAPITANI,15,1261,9,680.0,82.0,762.0
alimentare/non alimentare,penny market,VIA,MONCUCCO,36,5320,6,540.0,210.0,750.0
alimentare/non alimentare,penny market,VIA,PADOVA,166,2275,2,893.0,268.0,1161.0
alimentare/non alimentare,penny market,VIA,ROSSI PELLEGRINO,46,1510,9,600.0,335.0,935.0
alimentare/non alimentare,penny market,VIA,STAMIRA D'ANCONA,28,2337,2,510.0,262.0,772.0
alimentare/non alimentare,penny market,VLE,ESPINASSE CARLO,137,7390,8,662.0,217.0,879.0
alimentare/non alimentare,playlife,PZA,SANTA FRANCESCA ROMANA,3,2183,3,395.0,105.0,500.0
alimentare/non alimentare,punto market,VIA,PONTI ETTORE,45,5297,6,470.0,299.0,769.0
alimentare/non alimentare,punto sma,PLE,BAIAMONTI ANTONIO,4,7235,9,355.0,211.0,566.0
alimentare/non alimentare,punto sma,PZA,BRUZZANO,5,1655,9,380.0,820.0,1200.0
alimentare/non alimentare,punto sma,PZA,NAPOLI,11,5131,6,399.0,0.0,399.0
alimentare/non alimentare,punto sma,VIA,BUONARROTI MICHELANGELO,11,6253,7,400.0,630.0,1030.0
alimentare/non alimentare,punto sma,VIA,NOE ENRICO,43,2211,3,390.0,0.0,390.0
alimentare/non alimentare,punto sma,VIA,PIERO DELLA FRANCESCA,57,7188,8,380.0,30.0,410.0
alimentare/non alimentare,punto sma,VLE,ZARA,123,1170,9,505.0,395.0,900.0
alimentare/non alimentare,punto sma,VIA,VAL DI BONDO,15,1648,9,295.0,101.0,396.0
alimentare/non alimentare,punto sma,VIA,VENINI GIULIO E CORRADO,37,2258,2,320.0,401.0,721.0
alimentare/non alimentare,punto sma,VLE,PISA,10,6615,7,270.0,421.0,691.0
alimentare/non alimentare,quel che c e,VIA,OROBIA,11,4137,5,290.0,0.0,290.0
alimentare/non alimentare,salvini,VIA,SOLARI ANDREA,6,5111,6,360.0,0.0,360.0
alimentare/non alimentare,si coop,VIA,FIUGGI,33,1328,9,860.0,757.0,1617.0
alimentare/non alimentare,sma,VIA,DELLA FERRERA,18,5451,6,1010.0,1098.0,2108.0
alimentare/non alimentare,sma,VIA,F.LLI ANTONA TRAVERSI,18,7354,8,2272.0,1016.0,3288.0
alimentare/non alimentare,sma,VIA,NOVARA,15,6624,7,4009.0,2033.0,6042.0
alimentare/non alimentare,sma centro freschezza,VIA,MANCINI LODOVICO,4,3082,4,630.0,1125.0,1755.0
alimentare/non alimentare,sma/simply,VIA,DELFICO MELCHIORRE,52,7250,8,1810.0,1190.0,3000.0
alimentare/non alimentare,sma supermercati,VIA,PADOVA,224,2275,2,1120.0,1028.0,2148.0
alimentare/non alimentare,sma supermercati,VLE,TIBALDI,7,5234,5,990.0,630.0,1620.0
alimentare/non alimentare,sma supermercati alimenta,CSO,LODI,130,4068,4,862.0,616.0,1478.0
alimentare/non alimentare,sma supermercati alimenta,PZA,FRATTINI PIETRO,4,5389,6,3010.0,1124.0,4134.0
alimentare/non alimentare,sma supermercati alimenta,VIA,AMMIANO MARCELLINO,14,4101,4,600.0,720.0,1320.0
alimentare/non alimentare,sma supermercati alimenta,VIA,ASTESANI ALESSANDRO,46,1558,9,705.0,980.0,1685.0
alimentare/non alimentare,sma supermercati alimenta,VIA,LOMELLINA,1,3280,4,840.0,610.0,1450.0
alimentare/non alimentare,sma supermercati alimenta,VIA,MICHELINO DA BESOZZO,14,7263,8,695.0,1008.0,1703.0
alimentare/non alimentare,sma supermercati alimenta,VIA,VENINI GIULIO E CORRADO,50,2258,2,930.0,719.0,1649.0
alimentare/non alimentare,special market dugan,VIA,PIER LOMBARDO,2,4073,4,600.0,279.0,879.0
alimentare/non alimentare,standa,VLE,UNGHERIA,12,3357,4,890.0,537.0,1427.0
alimentare/non alimentare,standa superfresco,PZA,DIOCLEZIANO,4,7220,8,915.0,0.0,915.0
alimentare/non alimentare,standa superfresco,VIA,CICOGNARA LEOPOLDO,2,3106,3,2469.0,1898.0,4367.0
alimentare/non alimentare,standa superfresco,VIA,DEI MISSAGLIA,22,5340,5,3213.0,2214.0,5427.0
alimentare/non alimentare,standa superfresco,VIA,DELLE FORZE ARMATE,312,6643,7,1250.0,1625.0,2875.0
alimentare/non alimentare,standa superfresco,VIA,URUGUAY,6,7495,8,880.0,770.0,1650.0
alimentare/non alimentare,standa superfresco,VLE,ESPINASSE CARLO,19,7390,8,800.0,1453.0,2253.0
alimentare/non alimentare,supermercati di x di,VIA,SARPI FRA' PAOLO,41,7210,8,390.0,240.0,630.0
alimentare/non alimentare,supermercato,VIA,CANONICA LUIGI,54,7121,1,397.0,0.0,397.0
alimentare/non alimentare,team point,VLE,RICHARD GIULIO,5,5374,6,265.0,0.0,265.0
alimentare/non alimentare,toys center,VIA,MACCHI MAURO,29,2133,2,813.0,227.0,1040.0
