Settore merceologico,Insegna,Tipo Via,Denominazione,Civico,Codice Via,Municipio,Superficie vendita[m²],Superficie altri usi[m²],Superficie totale[m²]
non alimentare,fiat succ. vendita assist,VIA,GROSIO,9,7483,8,675.0,17183.0,17858.0
non alimentare,fined finanz.editoriale,PZA,PIEMONTE,2,6254,7,1973.0,827.0,2800.0
non alimentare,finporte snc,VIA,WILDT ADOLFO,2,2554,3,340.0,52.0,392.0
non alimentare,f.lli civeni ass. e vend.,VIA,CORREGGIO,8,6287,7,498.0,70.0,568.0
non alimentare,flli fumagalli garden,VIA,BOLZANO,1,2312,2,382.0,0.0,382.0
non alimentare,f.lli simoni snc.,VLE,MONZA,258,2274,2,550.0,0.0,550.0
non alimentare,fondamentali,VIA,MANZONI ALESSANDRO,12,230,1,349.0,0.0,349.0
non alimentare,fondazione metropolitan,VIA,SANT' EUFEMIA,25,405,1,550.0,0.0,550.0
non alimentare,fontana arredamenti,VIA,VIGEVANO,22,5116,6,256.0,0.0,256.0
non alimentare,frette,CSO,VERCELLI,23,6193,7,340.0,55.0,395.0
non alimentare,frette,VIA,ANDEGARI,18,120,1,480.0,0.0,480.0
non alimentare,frigerio gomme,PLE,SUSA,12,3101,4,400.0,20.0,420.0
non alimentare,frigerio pellicce,CSO,BUENOS AIRES,41,2129,3,500.0,0.0,500.0
non alimentare,fulgida srl,VIA,LEPONTINA,2,1147,9,968.0,500.0,1468.0
non alimentare,gabbai,VIA,PISANI VITTOR,8,1201,2,350.0,0.0,350.0
non alimentare,galbiati arreda,VLE,CERTOSA,21,7174,8,1016.0,0.0,1016.0
non alimentare,galleria carla sozzani,CSO,COMO,10,1111,9,550.0,0.0,550.0
non alimentare,garage porpora autofficin,VIA,TEODOSIO,55,2550,3,300.0,350.0,650.0
non alimentare,gbc componenti elettronic,CSO,BUENOS AIRES,55,2129,3,288.0,0.0,288.0
non alimentare,gb sportelli,CSO,BUENOS AIRES,23,2129,3,381.0,64.0,445.0
non alimentare,geco sanitari,VIA,SAN MAMETE,54,2413,2,548.0,0.0,548.0
non alimentare,germani sport,CSO,VERCELLI,18,6193,7,780.0,156.0,936.0
non alimentare,germani sport,PTA,PATTARI,4,299,1,954.0,0.0,954.0
non alimentare,germani sport,VLE,TROYA CARLO,5,5140,6,475.0,0.0,475.0
non alimentare,giacomelli sport,PZA,ARGENTINA,4,2233,3,891.0,259.0,1150.0
non alimentare,giaguaro srl,VLE,CASSALA,61,5275,6,400.0,400.0,800.0
non alimentare,gianfranco ferre,VIA,SANT' ANDREA,15,222,1,289.0,0.0,289.0
non alimentare,gianni campagna,VIA,PALESTRO,24,2102,1,500.0,0.0,500.0
non alimentare,gio moretti jenny,VIA,DELLA SPIGA,4,226,1,745.0,0.0,745.0
non alimentare,giorgio armani,VIA,SANT' ANDREA,9,222,1,1040.0,724.0,1764.0
non alimentare,giovenzana,LGO,AUGUSTO,10,315,1,273.0,41.0,314.0
non alimentare,giussani,VIA,ROSSI PELLEGRINO,80,1510,9,499.0,0.0,499.0
non alimentare,gold market,VIA,GUINIZELLI GUIDO,22,2281,2,480.0,210.0,690.0
non alimentare,golf house,VIA,GALLARATE,221,7420,8,400.0,0.0,400.0
non alimentare,gottardo sport,CSO,SAN GOTTARDO,19,5203,5,283.0,0.0,283.0
non alimentare,grimaldi motors,VIA,FERRUCCI FRANCESCO,6,7150,8,380.0,44.0,424.0
non alimentare,gucci,VIA,MONTE NAPOLEONE,5,219,1,1482.0,947.0,2429.0
non alimentare,guess,VIA,MELZO,36,2184,3,320.0,0.0,320.0
non alimentare,gusella,CSO,VITTORIO EMANUELE II,37,214,1,280.0,0.0,280.0
non alimentare,hass dal 1811,VIA,MEDA GIUSEPPE,52,5242,5,380.0,0.0,380.0
non alimentare,hb casa,VLE,MONTE CENERI,75,7176,8,417.0,0.0,417.0
non alimentare,h  E  m,CSO,VITTORIO EMANUELE II,1,214,1,950.0,329.0,1279.0
non alimentare,hermes,VIA,SANT' ANDREA,21,222,1,317.0,196.0,513.0
non alimentare,hi-fi,PZA,DE ANGELI ERNESTO,1,6276,7,290.0,0.0,290.0
non alimentare,iceberg,VIA,MONTE NAPOLEONE,10,219,1,271.0,0.0,271.0
non alimentare,idea bricolage,VIA,MAFFUCCI ANGIOLO,4,1276,9,390.0,0.0,390.0
non alimentare,il bagno ideale,VIA,SAN SISTO,3,513,1,254.0,0.0,254.0
non alimentare,il caminetto,VIA,ENNIO,6,4090,4,269.0,0.0,269.0
non alimentare,il libraccio,VIA,SANTA TECLA,5,321,1,260.0,0.0,260.0
non alimentare,il pentagono,VLE,LIGURIA,40,5264,6,600.0,0.0,600.0
non alimentare,jannelli e volpi,VIA,MELZO,7,2184,3,300.0,0.0,300.0
non alimentare,jil sander,VIA,VERRI PIETRO,6,223,1,400.0,0.0,400.0
non alimentare,just cavalli,VIA,DELLA SPIGA,30,226,1,343.0,149.0,492.0
non alimentare,koivu,CSO,EUROPA,12,300,1,770.0,0.0,770.0
non alimentare,la casa italiana,VLE,ELVEZIA,22,7085,1,309.0,357.0,666.0
non alimentare,la libreria dei ragazzi,VIA,TADINO ALESSANDRO,53,2109,3,300.0,300.0,600.0
non alimentare,lalique,CSO,MATTEOTTI GIACOMO,3,218,1,252.0,10.0,262.0
non alimentare,lancia,VIA,MEDA GIUSEPPE,11,5242,5,550.0,0.0,550.0
non alimentare,land rover,PZA,NAPOLI,2,5131,6,741.0,0.0,741.0
non alimentare,la rinascente,VIA,SANTA RADEGONDA,10,208,1,1490.0,0.0,1490.0
non alimentare,larusmiani,VIA,VERRI PIETRO,10,223,1,500.0,0.0,500.0
non alimentare,le copen,VIA,MANZONI ALESSANDRO,21,230,1,351.0,170.0,521.0
non alimentare,libero srl.,VIA,OSOPPO,21,6596,7,317.0,0.0,317.0
non alimentare,libreria del corso,CSO,BUENOS AIRES,51,2129,3,666.0,121.0,787.0
non alimentare,libreria egea,VIA,BOCCONI FERDINANDO,8,4050,5,733.0,0.0,733.0
non alimentare,libreria esoterica,GLL,UNIONE,1,510,1,300.0,0.0,300.0
non alimentare,libreria intern. cavour,PZA,CAVOUR,1,237,1,290.0,80.0,370.0
non alimentare,libreria rizzoli,GLL,VITTORIO EMANUELE,79,10,1,1015.0,285.0,1300.0
non alimentare,libreria san paolo,PZA,DEL DUOMO,20,1,1,406.0,158.0,564.0
non alimentare,liu.jo,CSO,VITTORIO EMANUELE II,30,214,1,277.0,0.0,277.0
non alimentare,louis vuitton,VIA,MONTE NAPOLEONE,2,219,1,1026.0,506.0,1532.0
non alimentare,lucky music strumenti m.,VIA,SODERINI LUIGI,54,6675,6,488.0,0.0,488.0
non alimentare,magia 2,VIA,GUINTELLINO GUGLIELMO,26,5369,6,333.0,0.0,333.0
non alimentare,mango,VIA,TORINO,21,543,1,748.0,452.0,1200.0
non alimentare,marco polo expert,VIA,CANONICA LUIGI,55,7121,1,1000.0,908.0,1908.0
non alimentare,marionnaud parfumeries,VLE,MONZA,2,2274,2,344.0,204.0,548.0
non alimentare,matuella,VIA,CASTALDI PANFILO,41,2119,3,380.0,250.0,630.0
non alimentare,max  E  co.,VIA,DANTE ALIGHIERI,7,612,1,270.0,0.0,270.0
non alimentare,max  E  co max mara,CSO,GENOVA,16,5164,1,585.0,173.0,758.0
non alimentare,maxmara,PZA,SAN BABILA,5,216,1,1039.0,310.0,1349.0
non alimentare,max mara,PZA,DEL LIBERTY,4,98,1,1415.0,710.0,2125.0
non alimentare,m.c. selvini,VIA,POERIO CARLO,3,3181,3,508.0,292.0,800.0
non alimentare,meazza,VIA,SAN SISTO,9,513,1,470.0,350.0,820.0
non alimentare,media world,VIA,LORENTEGGIO,230,5132,6,930.0,436.0,1366.0
non alimentare,media world,VLE,TROYA CARLO,18,5140,6,2350.0,8850.0,11200.0
non alimentare,melablu,PLE,LODI,3,4249,4,820.0,203.0,1023.0
non alimentare,melablu,VIA,OROPA,4,2381,2,1107.0,143.0,1250.0
non alimentare,melchionni diffusione,VIA,PINDARO,7,2401,2,470.0,42.0,512.0
non alimentare,mercato dell usato,VIA,CAPECELATRO ALFONSO,9,6575,7,255.0,0.0,255.0
non alimentare,mercedes benz,VIA,DAIMLER GOTTLIEB WILHELM,1,7587,8,958.0,6707.0,7665.0
non alimentare,mercedes benz milano,VIA,PADOVA,15,2275,2,450.0,0.0,450.0
non alimentare,mercedes benz milano,VIA,TITO LIVIO,30,4086,4,255.0,0.0,255.0
non alimentare,midas,VIA,LORENTEGGIO,264,5132,6,607.0,0.0,607.0
non alimentare,milano star mercedes benz,VIA,TITO LIVIO,28,4086,4,277.0,0.0,277.0
non alimentare,mitsubishi motors,VLE,CERTOSA,148,7174,8,485.0,0.0,485.0
non alimentare,mobili cucine divani,VIA,LEONCAVALLO RUGGERO,17,2389,2,1000.0,0.0,1000.0
non alimentare,mobili vercesi,VLE,MONZA,23,2274,2,395.0,75.0,470.0
non alimentare,mondadori informatica,VIA,BERCHET GIOVANNI,2,206,1,1464.0,0.0,1464.0
non alimentare,mondadori multicenter,VIA,DOGANA,2,341,1,2300.0,1908.0,4208.0
non alimentare,mornata art decor,VIA,MOLINO DELLE ARMI,49,591,1,270.0,0.0,270.0
non alimentare,morotti arredamenti,VLE,MONZA,75,2274,2,366.0,202.0,568.0
non alimentare,muji,CSO,BUENOS AIRES,36,2129,3,505.0,0.0,505.0
non alimentare,natuzzi,VIA,DURINI,24,313,1,748.0,152.0,900.0
non alimentare,nuova eco srl.,VIA,PETROCCHI POLICARPO,36,2320,2,705.0,0.0,705.0
non alimentare,opel gerli,VLE,TESTI FULVIO,22,1441,9,1440.0,2000.0,3440.0
non alimentare,oviesse,GLL,PASSARELLA,2,303,1,750.0,0.0,750.0
non alimentare,oviesse,VIA,CANTONI GIOVANNI,7,6206,7,1000.0,0.0,1000.0
non alimentare,oviesse,VIA,MONCALIERI,15,1095,9,870.0,300.0,1170.0
non alimentare,pabocar service,VIA,MONVISO,34,7212,8,390.0,0.0,390.0
non alimentare,peugeot,VIA,GALLARATE,199,7420,8,1495.0,0.0,1495.0
non alimentare,photodiscount,PZA,DE ANGELI ERNESTO,3,6276,7,292.0,0.0,292.0
non alimentare,piaggio,CSO,SEMPIONE,43,7137,8,434.0,0.0,434.0
non alimentare,picking pack service,LGO,AUGUSTO,8,315,1,380.0,0.0,380.0
non alimentare,pimkie,VIA,BOSCOVICH RUGGERO,58,2131,3,399.0,0.0,399.0
non alimentare,pisotti,ALZ,NAVIGLIO GRANDE,98,5144,6,875.0,0.0,875.0
non alimentare,porsche,VLE,LANCETTI VINCENZO,46,1221,9,300.0,0.0,300.0
non alimentare,prada,GLL,VITTORIO EMANUELE,63,10,1,720.0,0.0,720.0
non alimentare,prada,VIA,MONTE NAPOLEONE,6,219,1,600.0,0.0,600.0
non alimentare,prada,VIA,MONTE NAPOLEONE,8,219,1,500.0,0.0,500.0
non alimentare,prenatal,CSO,BUENOS AIRES,28,2129,3,500.0,0.0,500.0
non alimentare,prenatal,CSO,SAN GOTTARDO,11,5203,5,270.0,21.0,291.0
non alimentare,prodotti per non vedenti,VIA,GIOVANNI DA PROCIDA,6,7151,8,450.0,0.0,450.0
non alimentare,proto arredamenti,VIA,VESPRI SICILIANI,51,5137,6,384.0,0.0,384.0
non alimentare,punto market,VIA,PIRANESI GIOVANNI BATTISTA,4,3263,4,600.0,764.0,1364.0
non alimentare,ramsa,VIA,QUARTO CAGNINO,24,6313,7,570.0,0.0,570.0
non alimentare,renco di macri  roberto,CSO,VENEZIA,29,238,1,260.0,214.0,474.0
non alimentare,replay,LGO,CORSIA DEI SERVI,11,234,1,808.0,0.0,808.0
non alimentare,ricordi media store,VIA,FOSCOLO UGO,3,205,1,2086.0,424.0,2510.0
non alimentare,ricordi medi store,CSO,BUENOS AIRES,33,2129,3,1190.0,553.0,1743.0
non alimentare,riparaz. contachilometri,VIA,MUSSI GIUSEPPE,5,7199,8,252.0,0.0,252.0
non alimentare,ronchi arredamenti snc,VIA,LIPPI FILIPPINO,19,2196,3,277.0,0.0,277.0
non alimentare,sagam,VLE,TESTI FULVIO,260,1441,9,440.0,640.0,1080.0
non alimentare,salina albera,VIA,MAMBRETTI ANTONIO,29,7455,8,260.0,0.0,260.0
non alimentare,salmoiraghi vigano,PZA,SAN BABILA,3,216,1,531.0,132.0,663.0
non alimentare,saro,VIA,DE AMICIS EDMONDO,20,574,1,440.0,2362.0,2802.0
non alimentare,schiffini,VIA,PASSIONE,2,3033,1,328.0,0.0,328.0
non alimentare,sempione,CSO,SEMPIONE,6,7137,8,414.0,40.0,454.0
non alimentare,sisley,GLL,PASSARELLA,1,303,1,437.0,17.0,454.0
non alimentare,sisley,VIA,DOGANA,4,341,1,1076.0,519.0,1595.0
non alimentare,sonia cars,VIA,CASORETTO,45,2420,3,280.0,0.0,280.0
non alimentare,sony italia spa.,VIA,MANZONI ALESSANDRO,31,230,1,573.0,0.0,573.0
non alimentare,spaccio aziendale,VIA,QUINTILIANO MARCO FABIO,33,3358,4,252.0,0.0,252.0
non alimentare,spaccio zucchi,VIA,F.LLI LORENZETTI,4,6604,7,254.0,0.0,254.0
non alimentare,spazio fitecarraldo,CSO,DI PORTA ROMANA,132,402,1,439.0,835.0,1274.0
non alimentare,spazionavigli,VIA,ALESSANDRIA,3,5109,6,300.0,0.0,300.0
non alimentare,splendori,CSO,MONFORTE,2,348,1,260.0,0.0,260.0
non alimentare,spotorno car srl,VLE,TESTI FULVIO,29,1441,9,323.0,0.0,323.0
non alimentare,spotti modern living,VLE,PIAVE,27,2179,1,393.0,0.0,393.0
non alimentare,stefanel,PZA,DEL DUOMO,21,1,1,460.0,39.0,499.0
non alimentare,supermarket del legno,VIA,LORENTEGGIO,246,5132,6,1128.0,0.0,1128.0
non alimentare,super union,VIA,MAESTRI CAMPIONESI,25,3197,4,370.0,0.0,370.0
non alimentare,susa auto silo,VIA,GOZZI GASPARE,5,3104,3,800.0,5690.0,6490.0
non alimentare,sveziacar spa,VIA,KULISCIOFF ANNA,6,6812,6,520.0,0.0,520.0
non alimentare,tecno,VIA,BIGLI,22,224,1,445.0,0.0,445.0
non alimentare,tenda davide cenci,VIA,MANZONI ALESSANDRO,7,230,1,278.0,0.0,278.0
non alimentare,terranova,VIA,TORINO,61,543,1,525.0,358.0,883.0
non alimentare,tessuti raponi,VIA,RONCHI,2,2655,3,531.0,519.0,1050.0
non alimentare,tiffany,VIA,DELLA SPIGA,19,226,1,266.0,0.0,266.0
non alimentare,tod s,VIA,DELLA SPIGA,22,226,1,495.0,425.0,920.0
non alimentare,treesse sport,PZA,SANTA MARIA BELTRADE,2,514,1,870.0,194.0,1064.0
non alimentare,trevisan  E  c.,CSO,GENOVA,20,5164,1,630.0,31.0,661.0
non alimentare,trussardi,PZA,DELLA SCALA,5,201,1,300.0,0.0,300.0
non alimentare,tutto chicco,CSO,BUENOS AIRES,75,2129,3,575.0,305.0,880.0
non alimentare,united colors of benetton,CSO,VERCELLI,8,6193,7,2228.0,1766.0,3994.0
non alimentare,upim,VIA,QUARENGHI GIACOMO,23,7478,8,1490.0,346.0,1836.0
non alimentare,valentino,VIA,MONTE NAPOLEONE,20,219,1,613.0,369.0,982.0
non alimentare,vannucci,GLL,SAN BABILA,4,360,1,380.0,125.0,505.0
non alimentare,varco spa.,VIA,DELL' INNOMINATO,2,5414,5,664.0,6476.0,7140.0
non alimentare,vergelio,VIA,PASSARELLA,4,298,1,345.0,0.0,345.0
non alimentare,verzeri,VIA,VILLAPIZZONE,12,7272,8,252.0,0.0,252.0
non alimentare,vetrofania,VIA,DURINI,23,313,1,514.0,542.0,1056.0
non alimentare,vodafone one,VIA,OREFICI,2,547,1,337.0,0.0,337.0
non alimentare,volvo sveziacar,VLE,TOSCANA,31,4210,5,965.0,0.0,965.0
non alimentare,white star adventure,VIA,DEGLI OMENONI,2,233,1,558.0,39.0,597.0
non alimentare,willy sport,VIA,LAMARMORA ALFONSO,21,4103,1,266.0,0.0,266.0
non alimentare,yves saint laurent,VIA,MONTE NAPOLEONE,27,219,1,632.0,0.0,632.0
non alimentare,zara,CSO,BUENOS AIRES,54,2129,3,1200.0,709.0,1909.0
non alimentare,zara,CSO,VITTORIO EMANUELE II,11,214,1,2500.0,200.0,2700.0
non alimentare,zara,VIA,TORINO,2,543,1,1143.0,340.0,1483.0
non alimentare,zucchi store,VIA,FOSCOLO UGO,4,205,1,700.0,0.0,700.0
tabella speciale carburanti,Mancante,VIA,ROSSI PELLEGRINO,93,1510,9,910.0,32.0,942.0
tabella speciale carburanti,Mancante,VIA,SANT' ARNALDO,26,1663,9,600.0,0.0,600.0
tabella speciale carburanti,castelli elaborazioni elt,VIA,DE MARCHI EMILIO,37,1418,2,380.0,0.0,380.0
tabella speciale monopolio,Mancante,PZA,DEL DUOMO,25,1,1,601.0,0.0,601.0
tabella speciale monopolio,Mancante,VIA,MACCHI MAURO,42,2133,2,350.0,475.0,825.0
tabella speciale carburanti,Mancante,VIA,GALLARATE,40,7420,8,800.0,100.0,900.0
tabella speciale farmacie,farmacia,VIA,MAFFUCCI ANGIOLO,40,1276,9,462.0,291.0,753.0
tabella speciale farmacie,farmacia cassiodoro,VLE,CASSIODORO,12,6359,8,591.0,185.0,776.0
tabella speciale farmacie,farmacia scevola,VLE,TESTI FULVIO,90,1441,9,397.0,227.0,624.0
